src,dst,src_type,dst_type,src_scope,dst_scope
blended.active_campaigns,blended.aov,mediator,outcome,blended,blended
blended.active_campaigns,blended.checkout,mediator,mediator,blended,blended
blended.active_campaigns,blended.conversion.rate,mediator,outcome,blended,blended
blended.active_campaigns,blended.conversion_value,mediator,outcome,blended,blended
blended.active_campaigns,blended.conversions,mediator,outcome,blended,blended
blended.active_campaigns,blended.mer,mediator,outcome,blended,blended
blended.active_campaigns,blended.orders,mediator,outcome,blended,blended
blended.active_campaigns,blended.revenue,mediator,outcome,blended,blended
blended.active_campaigns,ecom.aov,mediator,outcome,blended,ecom
blended.active_campaigns,ecom.customers,mediator,outcome,blended,ecom
blended.active_campaigns,ecom.days_between_orders.avg,mediator,outcome,blended,ecom
blended.active_campaigns,ecom.new_customer_orders,mediator,outcome,blended,ecom
blended.active_campaigns,ecom.orders,mediator,outcome,blended,ecom
blended.active_campaigns,ecom.orders_per_customer.avg,mediator,outcome,blended,ecom
blended.active_campaigns,ecom.returning_customer_orders,mediator,outcome,blended,ecom
blended.active_campaigns,ecom.revenue,mediator,outcome,blended,ecom
blended.active_campaigns,google.ad_position,mediator,mediator,blended,google
blended.active_campaigns,google.clicks,mediator,mediator,blended,google
blended.active_campaigns,google.conversions,mediator,outcome,blended,google
blended.active_campaigns,google.cpa,mediator,outcome,blended,google
blended.active_campaigns,google.daily_trend,mediator,mediator,blended,google
blended.active_campaigns,google.hourly_performance,mediator,mediator,blended,google
blended.active_campaigns,google.impressions,mediator,mediator,blended,google
blended.active_campaigns,google.network_performance,mediator,mediator,blended,google
blended.active_campaigns,google.performance,mediator,mediator,blended,google
blended.active_campaigns,google.revenue,mediator,outcome,blended,google
blended.active_campaigns,google.roas,mediator,outcome,blended,google
blended.active_campaigns,google.search,mediator,mediator,blended,google
blended.active_campaigns,google.search_intent,mediator,mediator,blended,google
blended.active_campaigns,google.search_terms,mediator,mediator,blended,google
blended.active_campaigns,google.shopping_performance,mediator,mediator,blended,google
blended.active_campaigns,klaviyo.daily_trend,mediator,mediator,blended,klaviyo
blended.active_campaigns,klaviyo.engagement_rates,mediator,mediator,blended,klaviyo
blended.active_campaigns,klaviyo.list_growth,mediator,mediator,blended,klaviyo
blended.active_campaigns,klaviyo.performance,mediator,mediator,blended,klaviyo
blended.active_campaigns,klaviyo.sms,mediator,mediator,blended,klaviyo
blended.active_campaigns,klaviyo.weekly_trend,mediator,mediator,blended,klaviyo
blended.active_campaigns,meta.clicks,mediator,mediator,blended,meta
blended.active_campaigns,meta.impressions,mediator,mediator,blended,meta
blended.active_campaigns,meta.monthly_trend,mediator,mediator,blended,meta
blended.active_campaigns,store.conversion,mediator,outcome,blended,store
blended.active_campaigns,store.price.avg,mediator,outcome,blended,store
blended.active_campaigns,store.revenue,mediator,outcome,blended,store
blended.active_campaigns,web.bounce.rate,mediator,mediator,blended,web
blended.active_campaigns,web.cart_abandonment,mediator,mediator,blended,web
blended.active_campaigns,web.conversion.rate,mediator,outcome,blended,web
blended.active_campaigns,web.engagement.rate,mediator,mediator,blended,web
blended.active_campaigns,web.orders,mediator,outcome,blended,web
blended.active_campaigns,web.revenue,mediator,outcome,blended,web
blended.active_campaigns,web.sessions,mediator,mediator,blended,web
blended.active_campaigns,web.users,mediator,mediator,blended,web
blended.audience_spend,blended.active_campaigns,controllable,mediator,blended,blended
blended.audience_spend,blended.aov,controllable,outcome,blended,blended
blended.audience_spend,blended.checkout,controllable,mediator,blended,blended
blended.audience_spend,blended.conversion.rate,controllable,outcome,blended,blended
blended.audience_spend,blended.conversion_value,controllable,outcome,blended,blended
blended.audience_spend,blended.conversions,controllable,outcome,blended,blended
blended.audience_spend,blended.mer,controllable,outcome,blended,blended
blended.audience_spend,blended.orders,controllable,outcome,blended,blended
blended.audience_spend,blended.revenue,controllable,outcome,blended,blended
blended.audience_spend,ecom.aov,controllable,outcome,blended,ecom
blended.audience_spend,ecom.customers,controllable,outcome,blended,ecom
blended.audience_spend,ecom.days_between_orders.avg,controllable,outcome,blended,ecom
blended.audience_spend,ecom.new_customer_orders,controllable,outcome,blended,ecom
blended.audience_spend,ecom.orders,controllable,outcome,blended,ecom
blended.audience_spend,ecom.orders_per_customer.avg,controllable,outcome,blended,ecom
blended.audience_spend,ecom.returning_customer_orders,controllable,outcome,blended,ecom
blended.audience_spend,ecom.revenue,controllable,outcome,blended,ecom
blended.audience_spend,google.ad_position,controllable,mediator,blended,google
blended.audience_spend,google.clicks,controllable,mediator,blended,google
blended.audience_spend,google.conversions,controllable,outcome,blended,google
blended.audience_spend,google.cpa,controllable,outcome,blended,google
blended.audience_spend,google.daily_trend,controllable,mediator,blended,google
blended.audience_spend,google.hourly_performance,controllable,mediator,blended,google
blended.audience_spend,google.impressions,controllable,mediator,blended,google
blended.audience_spend,google.network_performance,controllable,mediator,blended,google
blended.audience_spend,google.performance,controllable,mediator,blended,google
blended.audience_spend,google.revenue,controllable,outcome,blended,google
blended.audience_spend,google.roas,controllable,outcome,blended,google
blended.audience_spend,google.search,controllable,mediator,blended,google
blended.audience_spend,google.search_intent,controllable,mediator,blended,google
blended.audience_spend,google.search_terms,controllable,mediator,blended,google
blended.audience_spend,google.shopping_performance,controllable,mediator,blended,google
blended.audience_spend,klaviyo.daily_trend,controllable,mediator,blended,klaviyo
blended.audience_spend,klaviyo.engagement_rates,controllable,mediator,blended,klaviyo
blended.audience_spend,klaviyo.list_growth,controllable,mediator,blended,klaviyo
blended.audience_spend,klaviyo.performance,controllable,mediator,blended,klaviyo
blended.audience_spend,klaviyo.sms,controllable,mediator,blended,klaviyo
blended.audience_spend,klaviyo.weekly_trend,controllable,mediator,blended,klaviyo
