src,dst,kind,relation,confidence,basis
blended.reach.sum,blended.impressions,compositional,funnel_step,0.85,reach->impressions funnel stage
blended.conversions,blended.conversion_value,compositional,funnel_step,0.85,conversions->conversion_value funnel stage
blended.sessions,blended.conversion.rate,compositional,funnel_step,0.85,sessions->conversion funnel stage
blended.sessions,blended.orders,compositional,funnel_step,0.85,sessions->orders funnel stage
blended.conversion.rate,blended.orders,compositional,funnel_step,0.85,conversion->orders funnel stage
blended.orders,blended.revenue,compositional,funnel_step,0.85,orders->revenue funnel stage
blended.returning_customers,blended.repeat.rate,compositional,funnel_step,0.85,returning_customers->repeat funnel stage
ecom.conversion.rate,ecom.orders,compositional,funnel_step,0.85,conversion->orders funnel stage
ecom.orders,ecom.revenue,compositional,funnel_step,0.85,orders->revenue funnel stage
google.impressions,google.clicks,compositional,funnel_step,0.85,impressions->clicks funnel stage
google.clicks,google.conversions,compositional,funnel_step,0.85,clicks->conversions funnel stage
google.conversions,google.conversion_value,compositional,funnel_step,0.85,conversions->conversion_value funnel stage
klaviyo.emails_sent,klaviyo.open.rate,compositional,funnel_step,0.85,emails_sent->open funnel stage
klaviyo.sent.sum,klaviyo.open.rate,compositional,funnel_step,0.85,sent->open funnel stage
klaviyo.open.rate,klaviyo.click.rate,compositional,funnel_step,0.85,open->click funnel stage
klaviyo.click.rate,klaviyo.conversion.rate,compositional,funnel_step,0.85,click->conversion funnel stage
meta.reach,meta.impressions,compositional,funnel_step,0.85,reach->impressions funnel stage
meta.impressions,meta.clicks,compositional,funnel_step,0.85,impressions->clicks funnel stage
store.sessions,store.conversion,compositional,funnel_step,0.85,sessions->conversion funnel stage
store.new_customers,store.customers.sum,compositional,funnel_step,0.85,new_customers->customers funnel stage
store.customers.sum,store.returning_customers,compositional,funnel_step,0.85,customers->returning_customers funnel stage
store.returning_customers,store.repeat.rate,compositional,funnel_step,0.85,returning_customers->repeat funnel stage
web.sessions,web.conversion.rate,compositional,funnel_step,0.85,sessions->conversion funnel stage
web.sessions,web.orders,compositional,funnel_step,0.85,sessions->orders funnel stage
web.conversion.rate,web.orders,compositional,funnel_step,0.85,conversion->orders funnel stage
web.orders,web.revenue,compositional,funnel_step,0.85,orders->revenue funnel stage
web.checkout_completion,web.orders,compositional,funnel_step,0.85,checkout_completion->orders funnel stage
